n,inclusion_error,exclusion_error
37,.39814815,.6388889
38,.44444445,.7037037
39,.5,.71296299
40,.3888889,.60185188
41,.5,.69444442
42,.47222221,.67592591
43,.43518519,.69444442
44,.4537037,.7037037
45,.37037036,.69444442
46,.4074074,.62037039
47,.4537037,.68518519
48,.37962964,.62962961
49,.49074075,.73148149
50,.3888889,.62962961
51,.39814815,.60185188
52,.4537037,.62962961
53,.49074075,.67592591
54,.37037036,.64814812
55,.47222221,.67592591
56,.48148149,.6388889
57,.4537037,.7037037
58,.49074075,.71296299
59,.42592594,.7037037
60,.46296296,.72222221
61,.4537037,.69444442
62,.44444445,.71296299
63,.39814815,.64814812
64,.39814815,.62962961
65,.41666666,.66666669
66,.42592594,.68518519
67,.4074074,.62962961
68,.37037036,.66666669
69,.4074074,.68518519
70,.3888889,.62037039
71,.3611111,.57407409
72,.47222221,.60185188
73,.4074074,.62037039
74,.4537037,.69444442
75,.35185185,.6388889
76,.39814815,.68518519
77,.4537037,.69444442
78,.48148149,.64814812
79,.39814815,.6574074
80,.4074074,.6388889
81,.42592594,.6574074
82,.41666666,.72222221
83,.5,.72222221
84,.41666666,.71296299
85,.3611111,.6388889
86,.37037036,.62037039
87,.4074074,.6574074
88,.3611111,.5925926
89,.4074074,.6574074
90,.44444445,.62962961
91,.49074075,.66666669
92,.3611111,.6111111
93,.41666666,.64814812
94,.4074074,.6388889
95,.39814815,.6388889
96,.43518519,.6574074
97,.46296296,.6574074
98,.3888889,.62037039
99,.46296296,.68518519
100,.46296296,.68518519
1,.43518519,.71296299
2,.44444445,.64814812
3,.43518519,.68518519
4,.47222221,.7037037
5,.44444445,.67592591
6,.41666666,.7037037
7,.42592594,.67592591
8,.4074074,.6388889
9,.32407406,.6111111
10,.4074074,.6388889
11,.39814815,.6388889
12,.37962964,.6388889
13,.3888889,.6574074
14,.4074074,.6388889
15,.41666666,.6574074
16,.42592594,.62962961
17,.42592594,.72222221
18,.35185185,.5925926
19,.37037036,.6574074
20,.44444445,.64814812
21,.47222221,.67592591
22,.42592594,.66666669
23,.44444445,.75
24,.43518519,.68518519
25,.50925928,.7037037
26,.46296296,.64814812
27,.3888889,.5925926
28,.35185185,.58333331
29,.39814815,.64814812
30,.41666666,.64814812
31,.42592594,.7037037
32,.39814815,.64814812
33,.42592594,.67592591
34,.41666666,.64814812
35,.46296296,.66666669
36,.41666666,.6574074
37,.44444445,.68518519
38,.47222221,.6574074
39,.42592594,.68518519
40,.3888889,.64814812
41,.39814815,.64814812
42,.43518519,.66666669
43,.4537037,.67592591
44,.37962964,.62962961
45,.4074074,.68518519
46,.3611111,.5925926
47,.5,.75925928
48,.44444445,.71296299
49,.39814815,.67592591
50,.41666666,.71296299
51,.41666666,.6388889
52,.35185185,.60185188
53,.37962964,.60185188
54,.39814815,.56481481
55,.41666666,.69444442
56,.4537037,.68518519
57,.37037036,.68518519
58,.35185185,.62037039
59,.46296296,.6574074
60,.47222221,.69444442
61,.48148149,.6388889
62,.3888889,.62962961
63,.43518519,.64814812
64,.35185185,.53703701
65,.43518519,.6574074
66,.41666666,.67592591
67,.4074074,.62962961
68,.35185185,.64814812
69,.39814815,.66666669
70,.39814815,.68518519
71,.4074074,.68518519
72,.37962964,.66666669
73,.46296296,.68518519
74,.43518519,.6111111
75,.4074074,.7037037
76,.48148149,.73148149
77,.41666666,.62962961
78,.43518519,.66666669
79,.4074074,.6574074
80,.42592594,.6574074
81,.42592594,.67592591
82,.37037036,.62962961
83,.47222221,.67592591
84,.43518519,.68518519
85,.47222221,.64814812
86,.39814815,.6388889
87,.5,.7037037
88,.43518519,.71296299
89,.44444445,.68518519
90,.4537037,.73148149
91,.4074074,.67592591
92,.43518519,.67592591
93,.39814815,.69444442
94,.47222221,.62962961
95,.3611111,.5462963
96,.43518519,.6574074
97,.42592594,.5925926
98,.4074074,.6388889
99,.41666666,.58333331
100,.41666666,.69444442
101,.4537037,.72222221
102,.46296296,.67592591
103,.39814815,.6574074
104,.44444445,.7037037
105,.33333334,.62037039
106,.37962964,.67592591
107,.42592594,.67592591
108,.43518519,.67592591
109,.37962964,.6574074
110,.47222221,.64814812
111,.43518519,.64814812
112,.39814815,.64814812
113,.43518519,.67592591
114,.42592594,.6574074
115,.5,.67592591
116,.35185185,.62962961
117,.4537037,.69444442
118,.41666666,.7037037
119,.41666666,.64814812
120,.41666666,.6388889
121,.4537037,.69444442
122,.49074075,.71296299
123,.42592594,.68518519
124,.46296296,.66666669
125,.48148149,.66666669
126,.48148149,.71296299
127,.44444445,.66666669
128,.39814815,.60185188
129,.48148149,.7037037
130,.43518519,.68518519
131,.4074074,.64814812
132,.47222221,.71296299
133,.3888889,.62962961
134,.49074075,.74074072
135,.42592594,.62037039
136,.49074075,.69444442
137,.3888889,.62037039
138,.44444445,.64814812
139,.39814815,.64814812
140,.3888889,.68518519
141,.46296296,.6574074
142,.3611111,.66666669
143,.5,.69444442
144,.4537037,.7037037
145,.39814815,.66666669
146,.43518519,.6574074
147,.4537037,.64814812
148,.42592594,.6574074
149,.4074074,.68518519
150,.44444445,.66666669
151,.39814815,.64814812
152,.48148149,.75
153,.52777779,.68518519
154,.4537037,.69444442
155,.4074074,.73148149
156,.46296296,.66666669
157,.41666666,.6574074
158,.47222221,.6388889
159,.43518519,.6388889
160,.43518519,.62037039
161,.47222221,.75
162,.3888889,.6111111
163,.44444445,.64814812
164,.43518519,.6574074
165,.49074075,.73148149
166,.4537037,.72222221
167,.37962964,.6574074
168,.3888889,.64814812
169,.3611111,.6574074
170,.44444445,.66666669
171,.44444445,.72222221
172,.5,.71296299
173,.41666666,.66666669
174,.48148149,.69444442
175,.3611111,.6574074
176,.4537037,.66666669
177,.3888889,.62962961
178,.41666666,.66666669
179,.3611111,.62962961
180,.3425926,.67592591
181,.4074074,.6388889
182,.41666666,.68518519
183,.2962963,.60185188
184,.53703701,.73148149
185,.4074074,.67592591
186,.3888889,.67592591
187,.42592594,.64814812
188,.42592594,.6111111
189,.46296296,.64814812
190,.39814815,.64814812
191,.37037036,.60185188
192,.42592594,.6574074
193,.55555558,.69444442
194,.43518519,.7037037
195,.37037036,.62962961
196,.47222221,.74074072
197,.37962964,.7037037
198,.52777779,.69444442
199,.44444445,.71296299
200,.46296296,.6388889
201,.4074074,.67592591
202,.49074075,.7037037
203,.3888889,.62962961
204,.4537037,.64814812
205,.51851851,.67592591
206,.3888889,.6574074
207,.43518519,.62962961
208,.3888889,.6388889
209,.41666666,.67592591
210,.3888889,.62037039
211,.42592594,.64814812
212,.41666666,.6388889
213,.42592594,.66666669
214,.3888889,.6111111
215,.3888889,.64814812
216,.3611111,.6388889
217,.41666666,.67592591
218,.4074074,.7037037
219,.47222221,.66666669
220,.51851851,.76851851
221,.39814815,.67592591
222,.43518519,.68518519
223,.48148149,.7037037
224,.49074075,.69444442
225,.3611111,.6111111
226,.37962964,.64814812
227,.47222221,.7037037
228,.37037036,.64814812
229,.44444445,.66666669
230,.41666666,.67592591
231,.4074074,.67592591
232,.35185185,.62037039
233,.37962964,.74074072
234,.48148149,.74074072
235,.4074074,.5462963
236,.39814815,.62037039
237,.37037036,.62962961
238,.4074074,.64814812
239,.50925928,.7037037
240,.48148149,.7037037
241,.41666666,.62962961
242,.44444445,.5925926
243,.43518519,.73148149
244,.44444445,.7037037
245,.4537037,.69444442
246,.3888889,.62962961
247,.41666666,.6388889
248,.3425926,.58333331
249,.43518519,.7037037
250,.3611111,.64814812
251,.50925928,.72222221
252,.37962964,.6574074
253,.42592594,.71296299
254,.37037036,.60185188
255,.3425926,.6111111
256,.50925928,.73148149
257,.3611111,.7037037
258,.47222221,.6574074
259,.49074075,.7037037
260,.5,.7037037
261,.4537037,.62962961
262,.47222221,.66666669
263,.46296296,.6574074
264,.39814815,.6111111
265,.41666666,.67592591
266,.42592594,.71296299
267,.41666666,.62962961
268,.42592594,.66666669
269,.44444445,.7037037
270,.4074074,.6111111
271,.3425926,.62037039
272,.48148149,.71296299
273,.43518519,.66666669
274,.42592594,.66666669
275,.42592594,.6574074
276,.4074074,.62037039
277,.37037036,.67592591
278,.39814815,.67592591
279,.44444445,.64814812
280,.42592594,.6111111
281,.4074074,.68518519
282,.50925928,.7037037
283,.43518519,.64814812
284,.44444445,.68518519
285,.39814815,.62037039
286,.41666666,.62037039
287,.48148149,.69444442
288,.46296296,.67592591
289,.51851851,.69444442
290,.39814815,.64814812
291,.41666666,.62962961
292,.42592594,.64814812
293,.39814815,.62037039
294,.4537037,.71296299
295,.42592594,.67592591
296,.48148149,.68518519
297,.47222221,.69444442
298,.39814815,.69444442
299,.47222221,.71296299
300,.39814815,.6111111
301,.41666666,.67592591
302,.4074074,.62962961
303,.46296296,.6574074
304,.4537037,.67592591
305,.3888889,.6574074
306,.4074074,.67592591
307,.3888889,.62962961
308,.5,.73148149
309,.42592594,.64814812
310,.44444445,.68518519
311,.52777779,.72222221
312,.37037036,.6388889
313,.39814815,.57407409
314,.37962964,.6574074
315,.3611111,.60185188
316,.4537037,.62962961
317,.41666666,.66666669
318,.4074074,.62037039
319,.42592594,.6111111
320,.41666666,.62037039
321,.41666666,.62962961
322,.39814815,.6388889
323,.43518519,.62037039
324,.43518519,.73148149
325,.37037036,.5925926
326,.48148149,.67592591
327,.30555555,.5925926
328,.46296296,.62037039
329,.42592594,.69444442
330,.43518519,.6574074
331,.44444445,.7037037
332,.46296296,.6574074
333,.49074075,.67592591
334,.35185185,.69444442
335,.44444445,.5925926
336,.4537037,.71296299
337,.42592594,.6388889
338,.37037036,.6111111
339,.43518519,.73148149
340,.49074075,.71296299
341,.35185185,.6574074
342,.42592594,.64814812
343,.4074074,.62037039
344,.50925928,.75
345,.3888889,.69444442
346,.4537037,.64814812
347,.3611111,.62037039
348,.37962964,.60185188
349,.4074074,.67592591
350,.47222221,.73148149
351,.4074074,.66666669
352,.4074074,.66666669
353,.37962964,.6574074
354,.32407406,.5925926
355,.3611111,.6574074
356,.43518519,.66666669
357,.33333334,.58333331
358,.46296296,.71296299
359,.37037036,.66666669
360,.44444445,.6574074
361,.39814815,.62962961
362,.37037036,.6388889
363,.43518519,.6574074
364,.47222221,.72222221
365,.4074074,.66666669
366,.41666666,.62962961
367,.46296296,.66666669
368,.3888889,.69444442
369,.49074075,.62962961
370,.48148149,.68518519
371,.3611111,.62962961
372,.47222221,.67592591
373,.43518519,.69444442
374,.39814815,.7037037
375,.4537037,.72222221
376,.3425926,.52777779
377,.51851851,.75
378,.41666666,.67592591
379,.48148149,.69444442
380,.3425926,.64814812
381,.42592594,.6574074
382,.4074074,.6574074
383,.43518519,.67592591
384,.43518519,.64814812
385,.41666666,.6388889
386,.39814815,.62962961
387,.32407406,.6388889
388,.48148149,.69444442
389,.46296296,.68518519
390,.3425926,.60185188
391,.48148149,.6574074
392,.4074074,.68518519
393,.49074075,.7037037
394,.41666666,.66666669
395,.37037036,.62037039
396,.41666666,.62037039
397,.37962964,.62037039
398,.3611111,.6111111
399,.4074074,.67592591
400,.37037036,.5925926
401,.3888889,.5925926
402,.4074074,.7037037
403,.4074074,.7037037
404,.50925928,.75925928
405,.37037036,.64814812
406,.3888889,.71296299
407,.42592594,.62962961
408,.4074074,.6388889
409,.3888889,.6111111
410,.39814815,.5925926
411,.3888889,.62962961
412,.4074074,.69444442
413,.37962964,.66666669
414,.47222221,.69444442
415,.46296296,.67592591
416,.41666666,.6574074
417,.44444445,.68518519
418,.41666666,.64814812
419,.37962964,.66666669
420,.53703701,.76851851
421,.42592594,.6388889
422,.48148149,.66666669
423,.44444445,.66666669
424,.44444445,.6388889
425,.50925928,.75
426,.41666666,.6574074
427,.49074075,.71296299
428,.32407406,.6111111
429,.31481481,.6111111
430,.44444445,.6574074
431,.3425926,.62037039
432,.44444445,.71296299
433,.4074074,.68518519
434,.46296296,.7037037
435,.44444445,.6388889
436,.42592594,.62962961
437,.3888889,.6388889
438,.4537037,.68518519
439,.44444445,.6574074
440,.35185185,.5925926
441,.4537037,.69444442
442,.35185185,.56481481
443,.44444445,.66666669
444,.37037036,.6574074
445,.46296296,.71296299
446,.37037036,.64814812
447,.4537037,.62037039
448,.41666666,.68518519
449,.3888889,.6388889
450,.3888889,.6574074
451,.42592594,.6388889
452,.39814815,.6574074
453,.4074074,.62962961
454,.4074074,.66666669
455,.37037036,.64814812
456,.44444445,.6574074
457,.44444445,.7037037
458,.46296296,.69444442
459,.3888889,.6574074
460,.31481481,.64814812
461,.4537037,.67592591
462,.41666666,.67592591
463,.44444445,.68518519
464,.44444445,.68518519
465,.4074074,.68518519
466,.4074074,.62037039
467,.47222221,.68518519
468,.3888889,.64814812
469,.42592594,.69444442
470,.46296296,.68518519
471,.39814815,.62037039
472,.41666666,.7037037
473,.3888889,.6111111
474,.41666666,.69444442
475,.43518519,.62962961
476,.37037036,.62037039
477,.39814815,.6574074
478,.43518519,.69444442
479,.31481481,.66666669
480,.41666666,.66666669
481,.37037036,.64814812
482,.42592594,.69444442
483,.4074074,.64814812
484,.33333334,.60185188
485,.3425926,.62962961
486,.39814815,.64814812
487,.44444445,.6111111
488,.42592594,.67592591
489,.33333334,.62037039
490,.44444445,.6388889
491,.42592594,.68518519
492,.47222221,.64814812
493,.4537037,.64814812
494,.43518519,.62962961
495,.43518519,.68518519
496,.5462963,.72222221
497,.5,.71296299
498,.51851851,.69444442
499,.4074074,.5925926
500,.49074075,.69444442
