i,n,b_age,b_educ_yrs,b_dist_from_city,b_family_size,b_experience
2,100,.63228965,1.0656283,-.33306724,.68553579,1.891487
3,100,.53016537,1.5248384,-.28445753,.60027516,1.9835403
4,100,.56565183,1.4620489,-.25205457,1.3842142,1.9748507
5,100,.51440251,1.238861,-.35825723,1.2272657,2.0073862
6,100,.56416547,1.399587,-.31121606,1.3618681,1.9474013
7,100,.53811616,1.7025316,-.30790862,.95835614,1.9527054
8,100,.54069299,1.7108173,-.31051451,1.3856802,1.9861274
9,100,.45396763,2.1226771,-.17388122,.72872406,2.0162122
10,100,.7256102,1.0288982,-.43970922,1.6434773,1.8522143
11,100,.61543775,.77579409,-.30091101,.50876898,1.9821687
12,100,.52340668,1.5186081,-.27608725,.99911892,2.001936
13,100,.47028634,1.1560979,-.3560839,1.0876772,2.2646048
14,100,.45207608,1.6304938,-.25700685,.83819336,1.8493729
15,100,.5823698,1.7002016,-.18952116,.26312616,1.9043591
16,100,.5250147,1.145061,-.42811826,.61331362,2.031189
17,100,.52153391,1.5989622,-.23562589,.73361123,2.0367353
18,100,.60002744,1.1168041,-.18818393,1.2781388,1.9037097
19,100,.49824744,1.3110456,-.39705548,.75148839,2.0235503
20,100,.37427667,1.2006414,-.24049589,1.8431336,1.9704276
21,100,.36500004,1.1948595,-.35273919,.73061365,1.9694734
22,100,.54694474,1.7711658,-.038423508,1.2939475,1.9371552
23,100,.36361048,1.1966431,-.31500864,.84658992,2.1145334
24,100,.51846308,1.4223728,-.26384535,.85076904,1.9868975
25,100,.45940301,1.8643224,-.23579879,.56200784,1.9542313
26,100,.50713223,1.3959709,-.29649606,1.1020023,2.1175804
27,100,.53667796,1.20226,-.30999359,1.0204837,1.9020194
28,100,.47826409,1.7497753,-.32708558,1.2045712,1.9602628
29,100,.64701939,1.7514279,-.3140026,.54971004,2.0647287
30,100,.48871449,1.2113806,-.34019357,.79716516,2.0144558
31,100,.1858348,1.6045729,-.34253684,.08976011,2.0715384
32,100,.63477105,1.6116657,-.37588713,.59147549,2.087364
33,100,.52469599,1.6125102,-.32382768,.72502857,1.9644747
34,100,.60971004,1.1698618,-.26603717,.87343168,1.8566509
35,100,.51630795,1.5546739,-.2629241,1.3067575,1.9721022
36,100,.4581652,1.9843045,-.30479258,1.0581367,2.0369484
37,100,.58917284,1.315374,-.17944522,1.14263,1.8967837
38,100,.54927373,1.5181302,-.35397592,2.0850387,2.0579278
39,100,.40183923,1.7052985,-.12484974,.18967505,2.0634859
40,100,.43788296,1.1817883,-.38755116,1.0034184,1.9641317
41,100,.44934008,1.5788833,-.40821776,1.377948,1.8510587
42,100,.5217433,1.2066599,-.34221807,.62695241,2.066195
43,100,.56241769,1.5266595,-.39707884,.95738083,1.8353736
44,100,.41980487,1.8235205,-.36447722,.93713397,1.9255472
45,100,.4393805,1.7148389,-.29034275,1.5131096,2.1108842
46,100,.47044212,1.1213646,-.31549472,1.2224733,2.1154432
47,100,.45911118,1.1975298,-.35585883,.62377888,1.9318643
48,100,.62530786,1.2716973,-.25482228,.95578587,2.0884376
49,100,.53015167,1.8053294,-.30250975,1.9584694,1.9409245
50,100,.27638704,1.4539471,-.24239722,1.2211332,2.054601
51,100,.57124925,1.5178127,-.28435406,1.4928837,2.0119088
52,100,.51767236,1.2310855,-.26483214,.99850672,2.0629992
53,100,.52781337,1.5998428,-.24138443,.77445161,1.933255
54,100,.41384032,1.9279169,-.14995277,1.2233433,2.0522871
55,100,.4683992,1.2157468,-.5030489,1.110381,1.9182796
56,100,.33342218,1.3249717,-.29799679,.8435511,2.1902678
57,100,.6044417,1.5799043,-.26557603,.71017241,2.0644033
58,100,.66457206,1.4966248,-.28205749,.38584799,1.9095247
59,100,.34971792,1.4304162,-.43040773,1.5772927,2.1337671
60,100,.45243427,1.6316303,-.2951574,.78652489,2.0372262
61,100,.51472378,1.7961756,-.31092134,.92913443,2.0216143
62,100,.40497476,1.2426592,-.403056,1.042107,2.1188648
63,100,.47714078,1.5742862,-.21399356,1.4153907,2.0918903
64,100,.56184542,2.1792035,-.16415973,1.1507686,1.9793028
65,100,.25305107,1.1610812,-.32511184,1.1084375,2.0796208
66,100,.56937802,1.5055391,-.24478185,1.0222237,1.9448711
67,100,.43935856,1.2975441,-.29752257,.87119275,1.9847349
68,100,.36676851,1.5785537,-.30699426,.49414009,2.0646384
69,100,.58323342,1.7713338,-.31814036,.47986701,1.9831352
70,100,.55346286,1.8774298,-.22519189,1.0415479,1.9278417
71,100,.54749727,1.4859821,-.22244103,1.7277336,1.9926234
72,100,.47866744,1.8922957,-.19612573,.82942706,1.9297664
73,100,.54330879,1.0712626,-.34937277,1.1443714,1.9032581
74,100,.36945814,1.4326171,-.38604552,.54795092,1.9527884
75,100,.40897778,1.4599547,-.23365022,1.7886125,2.0571656
76,100,.48476633,1.0482789,-.38495797,.84936041,1.9631757
77,100,.75297725,1.5227365,-.4140209,1.1933427,1.8645583
78,100,.74578339,1.7240611,-.40934172,1.382424,1.9906777
79,100,.36889035,1.2126526,-.23177685,.53583503,2.1583965
80,100,.39760041,1.4820431,-.33952907,1.1895972,2.1372204
81,100,.47659066,1.4706405,-.2660509,1.4197801,1.9756742
82,100,.43684223,1.561693,-.29471454,.76523739,2.0384541
83,100,.37815389,1.4017888,-.33068433,.78251225,2.1739185
84,100,.64928132,1.5198513,-.23368719,.99409902,2.0898595
85,100,.46725377,1.909243,-.14644848,.55687332,2.0521595
86,100,.42596966,1.564504,-.30438027,1.4585953,1.9574007
87,100,.61070353,1.6234875,-.16136622,.78893256,2.0207617
88,100,.56533366,1.4123126,-.34829402,.64403993,1.9751087
89,100,.80126905,1.6931388,-.31101629,1.2009548,1.7992681
90,100,.59808528,1.468785,-.31109747,1.0302902,1.8869579
91,100,.57062173,1.590449,-.24595071,.45414746,1.8755795
92,100,.54431778,1.5004561,-.37519738,1.3667451,1.9351963
93,100,.56550962,1.6083915,-.32029763,.2507076,1.9813216
94,100,.37759972,1.40642,-.24183969,1.243504,2.1145499
95,100,.52773792,1.3436233,-.30867255,1.0885416,2.0414104
96,100,.42926884,1.7117587,-.26726654,.8724094,1.9362736
97,100,.52929354,1.5183257,-.39118883,.71171194,1.920311
98,100,.5172534,1.5880953,-.19719133,.33173174,1.9268582
99,100,.25044933,1.5332854,-.30183035,1.1301632,2.1256857
100,100,.35401449,1.4170527,-.2789942,1.3191125,2.1847677
1,200,.48115638,1.5279037,-.28992128,1.0773543,1.9253997
2,200,.51922452,1.6235102,-.36986732,.72900969,1.9305922
3,200,.63312924,1.480139,-.36644822,1.0237931,1.9363704
4,200,.49987769,1.5979313,-.19140153,.87418395,2.0487144
5,200,.46756253,1.4378533,-.27250645,1.1776644,2.0371277
6,200,.4425537,1.6346213,-.35818303,.52674282,2.0178084
7,200,.58398432,1.2362604,-.29418567,.41064489,1.9807549
8,200,.4174487,1.4937934,-.34335336,.89073247,1.9983152
9,200,.46379152,1.3087467,-.26378995,.64403772,2.0569572
10,200,.45038748,1.687633,-.24237178,.92140716,2.0287993
11,200,.50352341,1.1457093,-.35219184,.64533216,2.0194373
12,200,.52771086,1.5524828,-.34297329,1.0622774,1.8947628
13,200,.4902997,1.5731753,-.30696723,.733051,1.9449911
14,200,.53778791,1.5024037,-.35205778,1.5701306,1.918954
15,200,.42105016,1.7062825,-.25823247,.62524432,2.0903006
16,200,.5349018,1.2524675,-.30144188,1.348382,1.9805965
17,200,.40123582,1.6630561,-.35742438,.25734088,2.0693786
18,200,.44045058,1.563028,-.25541294,.79175538,2.0208049
19,200,.51069915,1.3185966,-.25139052,.84987831,2.0262179
20,200,.47929505,1.7230943,-.16172381,.88110572,2.0220678
21,200,.52796715,1.4006311,-.30173415,.72446799,2.002809
22,200,.57412428,1.6509868,-.34231189,1.0167575,1.9540067
23,200,.47258151,1.7443811,-.29340613,1.0831492,1.9621735
24,200,.51438868,1.4728304,-.36678377,1.3019328,1.9987611
25,200,.55595779,1.3949401,-.31136155,.90834796,1.9945796
26,200,.44891408,1.8733271,-.2016194,1.179204,2.0207911
27,200,.50214362,1.5114679,-.19604464,1.0620989,1.917487
28,200,.52749342,1.2717849,-.38217407,.63203198,2.0320497
29,200,.63724422,1.5860517,-.27468604,1.0003378,1.9157962
30,200,.44806573,1.3617134,-.35182801,1.1315846,2.0440066
31,200,.46348676,1.6021607,-.22518469,.70352513,2.082226
32,200,.46150026,1.371673,-.32503992,1.1288882,2.0084224
33,200,.42990899,1.6682783,-.30161428,.41869384,2.0571017
34,200,.48045748,1.5668554,-.38463008,1.4681747,1.9724655
35,200,.51021284,1.6837411,-.19757293,.45092735,1.9202042
36,200,.49847218,1.5330383,-.2610724,.89477432,2.0533693
37,200,.52797288,1.5819436,-.36966863,.53767133,1.9805396
38,200,.440898,1.210662,-.32324961,1.2820506,2.0211353
39,200,.38454795,1.6770785,-.3047404,.81774771,2.0375504
40,200,.52298474,1.7346479,-.26170868,1.1808165,2.0076115
41,200,.40037838,1.6470613,-.306326,.93116617,2.0733349
42,200,.60622871,1.3116684,-.41202801,1.1293372,2.0670083
43,200,.42516804,1.4057242,-.27215841,1.0306799,1.9972552
44,200,.61028618,1.2728937,-.38934803,1.5091602,1.8814535
45,200,.52008474,1.6854674,-.29831144,1.3220439,2.0675049
46,200,.41704336,1.349293,-.40363002,.90300113,2.0141361
47,200,.48647204,1.3643212,-.32989001,.903907,1.9944834
48,200,.53774446,1.5734849,-.25420532,1.3445563,1.9557449
49,200,.4964467,1.138836,-.40027934,1.3623571,2.0050867
50,200,.44966808,1.7755978,-.18920717,1.0071259,1.954685
51,200,.5413146,1.4423934,-.2378099,.79259855,1.9459602
52,200,.46796843,1.1701162,-.33752403,1.1934046,2.0205243
53,200,.54459232,1.4463159,-.31861904,1.0277411,1.9929925
54,200,.43272391,1.6905577,-.3338339,.84398717,1.9895037
55,200,.535357,1.4803338,-.36789519,.87125772,1.9928656
56,200,.53632873,1.4797847,-.27715939,1.3501264,2.0368927
57,200,.48500103,1.3404201,-.33956063,.9783383,1.9937223
58,200,.60198361,1.4402274,-.28833327,1.0645591,1.9234375
59,200,.55742741,1.7221712,-.23617242,.28074819,1.8971997
60,200,.42772323,1.2633451,-.33195803,1.0843554,2.0191188
61,200,.55036914,1.7507225,-.22224553,1.3061353,2.0260196
62,200,.5280636,1.3422714,-.37407044,1.497196,1.9939218
63,200,.43655172,1.6215936,-.34662303,.64163464,2.0077002
64,200,.46125317,1.2749355,-.33764225,1.4462438,2.0774331
65,200,.42986989,1.6877413,-.30633479,1.0218467,2.0179181
66,200,.4813014,1.417679,-.25032717,1.0688359,1.9791212
67,200,.47656503,1.5195782,-.2479001,1.1209823,2.0890644
68,200,.54719543,1.2864807,-.34454143,.85078186,1.9802171
69,200,.53449744,1.4012992,-.29565766,1.0240827,1.9976768
70,200,.52969044,1.4376128,-.25254753,.48793817,1.9550834
71,200,.5602473,1.081673,-.4314709,.8968181,1.9597408
72,200,.47571716,1.4279845,-.34210336,1.1081518,1.9972275
73,200,.44560003,1.6686456,-.26894289,.85221481,2.0620162
74,200,.51302934,1.060195,-.37665731,1.0323236,2.0448337
75,200,.50185692,1.4374247,-.3385433,1.2307677,2.0464201
76,200,.6084249,1.5713782,-.21747781,.95419806,2.0165806
77,200,.52092272,1.8091584,-.30614081,.89702445,1.8787768
78,200,.47330263,1.5907685,-.31927601,1.0308471,1.9823313
79,200,.31830937,1.6249988,-.26178697,.61299926,2.0176547
80,200,.46974698,1.4372258,-.19454186,1.1198175,1.8166462
81,200,.65109646,1.4683635,-.35693404,1.4493817,2.0028212
82,200,.55983341,1.5438619,-.32352281,1.0736073,2.0195508
83,200,.53686446,2.0323038,-.19190104,1.048339,1.9484423
84,200,.48873639,1.1627687,-.30585757,.86964405,1.9954084
85,200,.43619266,1.5673399,-.31752899,.64709067,2.048032
86,200,.50430793,1.6528376,-.31228787,.91371,2.0700302
87,200,.43872878,1.5944021,-.32192922,.82781565,2.0584517
88,200,.57879293,1.4742399,-.27091193,.71090007,1.9498426
89,200,.50010002,1.5301661,-.34253961,.95183933,1.9039223
90,200,.46910548,1.6847087,-.29973438,1.0302987,2.0381174
91,200,.45754832,1.5998394,-.26737273,1.0567393,2.0083222
92,200,.59169692,1.3903577,-.37310952,.80043501,2.014468
93,200,.5509823,1.6780727,-.25958607,1.0431918,1.9573423
94,200,.49855933,1.9708307,-.27860519,.88720185,1.9520115
95,200,.49341157,1.6610539,-.29201931,.64951402,1.9602414
96,200,.48501599,1.7007278,-.33098197,1.4220625,1.8992751
97,200,.56085831,1.5346435,-.28676629,1.0360031,2.0237813
98,200,.71214128,1.5296203,-.38033614,.89020061,1.8037021
99,200,.52943838,1.3142774,-.35143247,1.5173507,2.0051417
100,200,.52125889,1.3298397,-.31862184,1.0194875,1.9750773
1,300,.51597297,1.5772715,-.20152916,.49204594,1.9847516
2,300,.56409246,1.5734591,-.22561096,1.0081834,2.0312741
3,300,.52465928,1.7620106,-.19614322,.55680811,1.9734548
4,300,.5777173,1.4024417,-.27130553,.64188921,1.9943926
5,300,.42473668,1.4313514,-.28176394,.90935886,2.0032363
6,300,.55990386,1.6049197,-.35969675,.96442509,1.9240221
7,300,.51139909,1.3755548,-.29627633,.83995122,1.9084581
8,300,.47095451,1.3442382,-.34666884,1.2040927,2.0102034
9,300,.47531867,1.3634255,-.36019233,.87267578,1.9689251
10,300,.45726621,1.5177535,-.35365617,1.2714921,1.9798019
11,300,.44937846,1.6805651,-.28985462,1.0787455,1.9607326
12,300,.55076498,1.22702,-.37967262,.86943913,2.0014076
13,300,.44588128,1.6264973,-.26569042,1.2611201,2.0379767
14,300,.53367358,1.7208301,-.26577699,1.1951619,2.0729578
15,300,.50048602,1.6549453,-.32498625,.76773632,2.0114365
16,300,.44924322,1.5680625,-.31688935,.89387316,2.01212
17,300,.45183441,1.3056103,-.29881635,.61590052,2.0704801
18,300,.41515952,1.2501651,-.28755006,1.0198433,2.0694304
19,300,.54123384,1.6386201,-.29959312,.90817475,2.0096211
20,300,.49015003,1.564442,-.29156119,1.1765535,2.0203018
21,300,.4379679,1.5848193,-.37172788,1.274348,2.0532968
22,300,.49104902,1.6444498,-.28051198,.94123429,1.9936675
23,300,.4214029,1.5313733,-.3369948,.69985276,2.0265636
24,300,.5009079,1.6876149,-.30294704,.90141046,1.9660075
25,300,.48677772,1.3280886,-.36784512,.61800754,1.9431413
26,300,.45655352,1.1354151,-.3432785,1.0892974,2.0355582
27,300,.62865794,1.6269137,-.32042837,1.1499979,1.9583027
28,300,.47555098,1.4460881,-.31373477,1.128582,1.9343697
29,300,.56375468,1.422676,-.3364,.53341031,1.9909497
30,300,.47216836,1.3817875,-.27846375,.84666908,2.0357649
31,300,.59275776,1.3416808,-.32285231,1.5412644,1.9348528
32,300,.48275396,1.4823141,-.24714975,1.0101372,2.0861146
33,300,.47720432,1.4300174,-.30791378,.8326875,2.0124557
34,300,.41165462,1.3886238,-.21817163,.99717063,2.0782666
35,300,.42114112,1.604818,-.28556871,1.0322971,2.0704346
36,300,.53760779,1.4897381,-.23528585,.75364172,2.066468
37,300,.5300892,1.5772035,-.26689929,.90799862,2.0358782
38,300,.52830762,1.3556939,-.33108971,1.0011238,1.9651972
39,300,.50239027,1.4304311,-.32097062,.86111313,1.9962533
40,300,.49994951,1.3669616,-.29249254,1.1609306,1.9984453
41,300,.43956962,1.4626156,-.27163929,1.0448556,1.8867772
42,300,.54923451,1.4394684,-.24972416,.95643598,1.9299079
43,300,.50640911,1.5217919,-.33283636,.73810923,2.0241735
44,300,.48053247,1.3069474,-.27254009,.93864453,2.0659182
45,300,.51212019,1.583529,-.2795555,1.0908948,2.0559003
46,300,.51204926,1.2405134,-.32315844,.79657739,2.0586543
47,300,.50864422,1.3835427,-.35976765,1.0768682,1.936358
48,300,.49677667,1.6600046,-.29486531,.95060992,2.107163
49,300,.47242677,1.5888648,-.25502199,1.0638145,2.0107183
50,300,.48510933,1.6733534,-.35274383,.43646595,2.0437155
51,300,.54818487,1.2751236,-.29323995,1.1432205,1.985165
52,300,.48492539,1.6746119,-.25797269,1.2643858,2.0834742
53,300,.47304136,1.5061512,-.30737236,1.0321953,2.0646541
54,300,.52758992,1.3690385,-.38029888,.58121091,2.0158205
55,300,.50638145,1.6020063,-.22953454,1.0983855,1.9916509
56,300,.61480987,1.8144807,-.3560873,.74477649,1.9991641
57,300,.46973464,1.5432663,-.24790129,.85879785,1.9941781
58,300,.60828447,1.3465496,-.4195413,.91867554,1.9316827
59,300,.51265323,1.368059,-.3014006,.63214022,1.9686012
60,300,.51890796,1.4863104,-.26413429,.91007787,2.037673
61,300,.56847221,1.3969841,-.38777676,1.1081101,1.9396026
62,300,.53848964,1.1587386,-.33488372,1.3344269,2.0278516
63,300,.54083854,1.1587423,-.30309573,1.1369058,1.9787408
64,300,.58910882,1.4798337,-.2578381,1.0063742,1.9619011
65,300,.37238967,1.224838,-.33723474,1.3269054,1.9751457
66,300,.45951328,1.4746771,-.33786595,.59410042,1.9570689
67,300,.56556344,1.5362984,-.24573828,.98430318,2.042285
68,300,.56610394,1.4296192,-.31432527,.91395158,1.9909526
69,300,.48296398,1.3959039,-.35752663,.7852847,2.0388219
70,300,.5047608,1.4183601,-.25712138,.95898491,1.9834304
71,300,.43769953,1.4544375,-.27548999,1.2024014,2.0838952
72,300,.48761177,1.327608,-.39158475,.98315978,1.9619856
73,300,.45622733,1.4933695,-.28037614,1.0643759,2.0292737
74,300,.36058855,1.4211406,-.24270472,1.081213,2.1023591
75,300,.42876992,1.5481802,-.26049384,.90995401,2.0821552
76,300,.54476923,1.2837889,-.39102942,.83544964,1.9889431
77,300,.49709997,1.5430925,-.33886158,.80788696,2.0039058
78,300,.56221843,1.6364244,-.23890568,.87878746,1.9887516
79,300,.39061219,1.5127944,-.26490629,1.0022641,2.0487542
80,300,.51468456,1.726988,-.27264953,1.0655378,1.9749832
81,300,.47549808,1.6664408,-.27995694,1.1808149,2.0479903
82,300,.44472805,1.6274382,-.27852666,.96472937,2.0173049
83,300,.58991146,1.5018437,-.2124051,.34129542,1.9079355
84,300,.5796147,1.6194324,-.25864792,1.1378424,1.9708701
85,300,.51380903,1.557718,-.35007119,1.1615419,1.9494554
86,300,.5540179,1.572732,-.36376956,.93564481,1.9346721
87,300,.46402812,1.5316857,-.30671474,.97068584,2.0351856
88,300,.50374693,1.5369657,-.27357829,.72889209,1.9672706
89,300,.54694641,1.7335507,-.25703096,1.0040396,1.9869835
90,300,.45855933,1.6630669,-.21732993,1.2341524,1.9876528
91,300,.44435048,1.4497091,-.22619581,.9846676,2.0367334
92,300,.44223332,1.4641523,-.30407768,.57586741,1.9511658
93,300,.52418661,1.2757186,-.34259227,1.1787019,1.9742628
94,300,.52338988,1.8249673,-.20801185,.9690364,2.0139182
95,300,.57295007,1.5565184,-.28302374,.96364188,1.9658571
96,300,.55466157,1.4808381,-.33592051,.84753019,1.9839375
97,300,.46048966,1.5350653,-.29721352,.90694469,1.9933578
98,300,.55116987,1.3189968,-.27524734,1.1986578,1.9754599
99,300,.51940972,1.561843,-.30984145,.95941347,1.9657513
100,300,.49346697,1.5586253,-.30392435,.76758951,1.99946
1,400,.48515201,1.5952998,-.27135408,1.2253526,2.0185111
2,400,.52359194,1.4587877,-.27559671,.87526584,1.8928336
3,400,.61663342,1.3160924,-.36897522,1.0568969,1.9134527
4,400,.47147521,1.6775,-.26302862,1.1861079,1.9968371
5,400,.47534937,1.5994833,-.30436885,.69928724,2.0270095
6,400,.54579002,1.4467801,-.35071719,1.4549783,1.9425323
7,400,.45127925,1.4855452,-.22616541,1.0748404,2.0276003
8,400,.40512612,1.4629989,-.29376122,.95577091,2.0462782
9,400,.45620298,1.6643062,-.31566924,1.5242791,2.0635443
10,400,.43249333,1.4784207,-.30853128,1.1242454,1.9876293
11,400,.50219691,1.3051585,-.30308804,.80849928,2.0166225
12,400,.50998539,1.4166391,-.2801491,.812271,2.0775483
13,400,.4995507,1.6193829,-.27509364,.77941924,1.9886417
14,400,.53220797,1.5613238,-.31322846,1.1841128,1.9566396
15,400,.47402695,1.4004964,-.33849442,1.1219729,1.9954022
16,400,.50366879,1.5960237,-.265163,.84848249,1.9375122
17,400,.53620726,1.5673506,-.34004295,.86528021,1.9432701
18,400,.58876216,1.557723,-.31444532,1.0764625,1.9723344
19,400,.49601176,1.2880263,-.28059128,1.2105156,2.0056462
20,400,.63259435,1.4779636,-.21662338,1.063633,1.9745297
21,400,.53505582,1.6647443,-.27658331,1.2358609,1.9483222
22,400,.39796406,1.5413578,-.28993386,.87243778,2.0012913
23,400,.48341542,1.43799,-.3050229,.73882985,1.9514571
24,400,.45893142,1.5566485,-.28276607,1.1904093,2.0034208
25,400,.51910293,1.3286942,-.28659609,.77052766,1.9865112
26,400,.4868089,1.4074641,-.37095866,.87457669,2.0169919
27,400,.52204108,1.4645704,-.29363069,.97465765,1.9755509
28,400,.45239443,1.5271497,-.27929732,1.0496749,2.0243626
29,400,.52005339,1.5323776,-.26973298,1.1164333,2.0265334
30,400,.51535761,1.4981395,-.27905306,1.2345253,1.9316882
31,400,.49869785,1.384357,-.32308543,1.4079025,2.0458887
32,400,.52455938,1.3847368,-.30538812,1.0491647,2.0305564
